uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
941348,viscardos,174,162,2,0,1,0,1377552059
336460,robgeb,173,164,1,0,1,0,1312228583
82083,petr_balicek,171,30,24,3,4,3,1400786774
117595,E S,169,70,13,0,10,0,1387986857
78656,Walter Schlögl,166,7,19,0,17,0,1366143446
2010494,Sherden Italia,165,147,4,0,1,0,1399820764
188477,lerks,165,0,26,3,7,3,1338835418
72235,Basstoelpel,163,67,16,0,8,0,1327526885
162193,BjarneOP,163,139,8,0,0,0,1373832394
3094,Epsilon,163,163,0,0,0,0,1153062053
15302,hwi,162,87,11,0,7,0,1380794568
224887,Alessio Dessi,162,147,5,0,0,0,1334586124
161069,tymonw,159,90,13,0,5,0,1372871307
537862,hamsterfidel,158,140,6,0,0,0,1318631530
374661,YuraH,157,109,6,0,5,0,1340282642
105837,bot47,157,103,18,0,0,0,1301068032
209938,k_zoltan,156,138,6,0,0,0,1389954222
286930,Volker Löchte,147,135,4,0,0,0,1365372276
333972,big-hansi,147,132,5,0,0,0,1348781977
1285171,ciaccaru,146,122,8,0,0,0,1365799426
21029,kaeru,145,91,12,0,3,0,1401895206
1782031,lucas68,145,139,2,0,0,0,1382460470
1980416,olikami,144,87,9,0,5,0,1396399691
6168,LHCarsten,144,90,18,0,0,0,1252867245
454306,dega180,143,110,5,0,3,0,1392560274
332316,Ti-one,141,102,13,0,0,0,1287494710
80863,Alepoz,139,139,0,0,0,0,1288791907
96685,bellazambo,138,111,7,0,1,0,1309470606
281328,badger123,138,135,1,0,0,0,1274713411
1414109,Frozzo,137,128,3,0,0,0,1367598914
1738065,Dax89,135,30,31,0,2,0,1378640042
139742,doomi,134,134,0,0,0,0,1262536767
1815484,Salak,132,54,10,0,8,0,1385175161
1732936,crazy4casteddu,131,89,14,0,0,0,1379507116
1076098,maxgazze,130,64,18,0,2,0,1370026989
978111,Salvatore1990,127,55,8,0,8,0,1355336177
290680,wheelmap_visitor,126,45,9,0,9,0,1401293048
581863,pedrobv,126,63,11,0,5,0,1376116036
374503,sperrc,126,111,5,0,0,0,1382211372
54626,mapserver,125,95,8,0,1,0,1374956425
37248,reg111,125,65,12,0,4,0,1386248864
74204,kleene,125,95,4,0,3,0,1260788697
70696,xybot,124,85,11,0,1,0,1332797133
1992648,Xnusa,123,123,0,0,0,0,1395330119
64392,SldrHartman,123,24,11,0,11,0,1385719277
225704,pazzosub74,120,93,9,0,0,0,1392076739
1802811,HalClem,119,104,3,0,1,0,1387277948
704306,CPodda,119,95,4,0,2,0,1342715841
659172,herzilein,118,118,0,0,0,0,1341248571
118021,maggot27,117,0,13,0,13,0,1385929203
351361,dvdzero,115,97,6,0,0,0,1292370229
563247,ska-,114,51,11,0,5,0,1374420576
2110716,Camiciotto,113,56,3,4,0,2,1402143536
